location,new_cases,new_deaths,new_vaccinations,population
Afghanistan,174081.0,7617.0,13742.0,39835428.0
Africa,11230524.0,248668.0,581819010.0,1373486472.0
Albania,271825.0,3474.0,1415150.0,2872934.0
Algeria,265079.0,6843.0,170786.0,44616626.0
Andorra,38249.0,151.0,4802.0,77354.0
Angola,98746.0,1903.0,0.0,33933611.0
Anguilla,2555.0,10.0,1421.0,15125.0
Antigua and Barbuda,7451.0,135.0,8107.0,98728.0
Argentina,8912317.0,126390.0,82511644.0,45605823.0
Armenia,420498.0,8495.0,0.0,2968128.0
Aruba,33684.0,212.0,109153.0,107195.0
Asia,117811418.0,1351250.0,7544342022.0,4678444992.0
Australia,3326214.0,5319.0,53797833.0,25788217.0
Austria,2744023.0,14902.0,0.0,9043072.0
Azerbaijan,787367.0,9454.0,10231821.0,10223344.0
Bahamas,33198.0,771.0,9258.0,396914.0
Bahrain,519584.0,1511.0,2927653.0,1748295.0
Bangladesh,1945108.0,29053.0,88075635.0,166303494.0
Barbados,55543.0,316.0,286863.0,287708.0
Belarus,923432.0,6506.0,0.0,9442867.0
Belgium,3563841.0,30316.0,25040458.0,11632334.0
Belize,56816.0,654.0,122692.0,404915.0
Benin,26776.0,163.0,0.0,12451031.0
Bermuda,11561.0,123.0,0.0,62092.0
Bhutan,13535.0,6.0,862033.0,779900.0
Bolivia,893775.0,21443.0,12586506.0,11832936.0
Bonaire Sint Eustatius and Saba,7599.0,33.0,0.0,26445.0
Bosnia and Herzegovina,371553.0,15506.0,93862.0,3263459.0
Botswana,263950.0,2619.0,10435.0,2397240.0
Brazil,28741413.0,650254.0,390272980.0,213993441.0
British Virgin Islands,6085.0,62.0,0.0,30423.0
Brunei,71667.0,129.0,262753.0,441532.0
Bulgaria,1096194.0,35696.0,4143716.0,6896655.0
Burkina Faso,20751.0,375.0,0.0,21497097.0
Burundi,38127.0,38.0,460.0,12255429.0
Cambodia,131004.0,3032.0,34678972.0,16946446.0
Cameroon,119240.0,1923.0,10290.0,27224262.0
Canada,3303284.0,36728.0,81064771.0,38067913.0
Cape Verde,55889.0,402.0,7462.0,561901.0
Cayman Islands,19373.0,17.0,15339.0,66498.0
Central African Republic,14225.0,113.0,12887.0,4919987.0
Chad,7257.0,190.0,0.0,16914985.0
Chile,3098110.0,42624.0,48557767.0,19212362.0
China,109423.0,4640.0,3061013000.0,1444216102.0
Colombia,6067023.0,138899.0,49384131.0,51265841.0
Comoros,8033.0,161.0,0.0,888456.0
Congo,24020.0,409.0,1486.0,5657017.0
Cook Islands,2.0,0.0,0.0,17572.0
Costa Rica,811040.0,8057.0,0.0,5139053.0
Cote d'Ivoire,81552.0,794.0,2285727.0,27053629.0
Croatia,1058453.0,15122.0,3677004.0,4081657.0
Cuba,1070730.0,8497.0,30652428.0,11317498.0
Curacao,39016.0,261.0,184089.0,164796.0
Cyprus,326611.0,859.0,428204.0,896005.0
Czechia,3602844.0,38771.0,17392877.0,10724553.0
Democratic Republic of Congo,86039.0,1335.0,42303.0,92377986.0
Denmark,2805858.0,4633.0,13172039.0,5813302.0
Djibouti,15547.0,189.0,0.0,1002197.0
Dominica,11142.0,57.0,6417.0,72172.0
Dominican Republic,575157.0,4370.0,13314254.0,10953714.0
Ecuador,844764.0,22611.0,31317893.0,17888474.0
Egypt,486381.0,24132.0,2078777.0,104258327.0
El Salvador,156456.0,4077.0,4886767.0,6518500.0
Equatorial Guinea,15885.0,183.0,639.0,1449891.0
Eritrea,9705.0,103.0,0.0,3601462.0
Estonia,504148.0,2268.0,1955946.0,1325188.0
Eswatini,69211.0,1390.0,110765.0,1172369.0
Ethiopia,468786.0,7467.0,21319369.0,117876226.0
Europe,158815550.0,1717056.0,1247823286.0,748962983.0
European Union,110033392.0,1015772.0,818427138.0,447189915.0
Faeroe Islands,34658.0,28.0,34813.0,49053.0
Falkland Islands,115.0,0.0,0.0,3528.0
Fiji,63999.0,836.0,28295.0,902899.0
Finland,658559.0,2381.0,1235072.0,5548361.0
France,23316777.0,138537.0,140849628.0,67422000.0
French Polynesia,67660.0,641.0,855.0,282534.0
Gabon,47543.0,303.0,1486.0,2278829.0
Gambia,12039.0,365.0,429.0,2486937.0
Georgia,1616159.0,16231.0,1413257.0,3979773.0
Germany,15175471.0,123431.0,170153023.0,83900471.0
Ghana,159891.0,1442.0,180950.0,31732128.0
Gibraltar,15632.0,101.0,89064.0,33691.0
Greece,2454429.0,25972.0,19071197.0,10370747.0
Greenland,11760.0,19.0,43336.0,56868.0
Grenada,13707.0,216.0,1037.0,113015.0
Guatemala,784024.0,17021.0,13410832.0,18249868.0
Guernsey,0.0,0.0,15931.0,63385.0
Guinea,36397.0,440.0,1586407.0,13497237.0
Guinea-Bissau,8027.0,167.0,1658.0,2015490.0
Guyana,62986.0,1222.0,86563.0,790329.0
Haiti,30350.0,897.0,41453.0,11541683.0
High income,236393139.0,2211971.0,2306054318.0,1214930230.0
Honduras,412753.0,10779.0,229026.0,10062994.0
Hong Kong,293754.0,1168.0,13022731.0,7552800.0
Hungary,1793120.0,44134.0,8276404.0,9634162.0
Iceland,135748.0,66.0,258851.0,368792.0
India,42945160.0,507015.0,1708969414.0,1393409033.0
Indonesia,5630096.0,149036.0,272430616.0,276361788.0
International,721.0,15.0,0.0,147468998.0718444
Iran,7066975.0,137267.0,16735446.0,85028760.0
Iraq,2305083.0,25013.0,9985.0,41179351.0
Ireland,1315500.0,6540.0,10567640.0,4982904.0
Isle of Man,23099.0,80.0,92064.0,85410.0
Israel,3652454.0,10245.0,18015614.0,9291000.0
Italy,12868066.0,155245.0,134311512.0,60367471.0
Jamaica,128079.0,2814.0,491684.0,2973462.0
Japan,5143816.0,24140.0,166706910.0,126050796.0
Jersey,0.0,0.0,0.0,101073.0
Jordan,1638338.0,13849.0,4260392.0,10269022.0
Kazakhstan,1450652.0,19239.0,18702240.0,18994958.0
Kenya,323002.0,5640.0,11417724.0,54985702.0
Kiribati,2953.0,11.0,0.0,121388.0
Kosovo,226392.0,3116.0,1330147.0,1782115.0
Kuwait,620980.0,2540.0,30927.0,4328553.0
Kyrgyzstan,200556.0,3403.0,2076513.0,6628347.0
Laos,143240.0,623.0,1802450.0,7379358.0
Latvia,673218.0,5284.0,2855540.0,1866934.0
Lebanon,1072537.0,10115.0,4755512.0,6769151.0
Lesotho,32612.0,696.0,0.0,2159067.0
Liberia,7510.0,294.0,10089.0,5180208.0
Libya,495972.0,6279.0,141688.0,6958538.0
Liechtenstein,12165.0,78.0,70228.0,38254.0
Lithuania,913223.0,8442.0,4449324.0,2689862.0
Low income,1805056.0,41804.0,139168604.0,665149040.0
Lower middle income,82588725.0,1271503.0,3974325222.0,3330652550.0
Luxembourg,186210.0,995.0,1178840.0,634814.0
Macao,81.0,0.0,662746.0,658391.0
Madagascar,63666.0,1366.0,13544.0,28427333.0
Malawi,85362.0,2617.0,1267776.0,19647681.0
Malaysia,3496090.0,32942.0,67416247.0,32776195.0
Maldives,171114.0,297.0,770710.0,543620.0
Mali,30391.0,722.0,0.0,20855724.0
Malta,71497.0,608.0,1205547.0,516100.0
Marshall Islands,8.0,0.0,0.0,59618.0
Mauritania,58638.0,979.0,24659.0,4775110.0
Mauritius,71004.0,786.0,35153.0,1273428.0
Mexico,5521744.0,311470.0,145107930.0,130262220.0
Micronesia (country),1.0,0.0,0.0,116255.0
Moldova,502956.0,10657.0,1305637.0,4024025.0
Monaco,9457.0,54.0,0.0,39520.0
Mongolia,909379.0,2171.0,4407760.0,3329282.0
Montenegro,230512.0,2683.0,596353.0,628051.0
Montserrat,164.0,2.0,0.0,4981.0
Morocco,1161290.0,16002.0,27406052.0,37344787.0
Mozambique,225096.0,2227.0,295812.0,32163045.0
Myanmar,592139.0,19376.0,3800.0,54806014.0
Namibia,157275.0,4010.0,234709.0,2587344.0
Nauru,0.0,0.0,168.0,10873.0
Nepal,977200.0,11941.0,9492136.0,29674920.0
Netherlands,6540294.0,21710.0,0.0,17173094.0
New Caledonia,55503.0,301.0,0.0,288217.0
New Zealand,166103.0,56.0,10673349.0,5126300.0
Nicaragua,18105.0,225.0,0.0,6702379.0
Niger,8763.0,307.0,0.0,25130810.0
Nigeria,254598.0,3143.0,3160328.0,211400704.0
Niue,0.0,0.0,0.0,1614.0
North America,93195128.0,1374621.0,1030269255.0,596581283.0
North Macedonia,298195.0,9036.0,950551.0,2082661.0
Northern Cyprus,0.0,0.0,1988.0,147468998.0718444
Norway,1279169.0,1666.0,11233166.0,5465629.0
Oceania,3735739.0,7922.0,74627661.0,43219954.0
Oman,383389.0,4246.0,65081.0,5223376.0
Pakistan,1511754.0,30237.0,85613471.0,225199929.0
Palau,3823.0,6.0,0.0,18174.0
Palestine,648039.0,5532.0,1655605.0,5222756.0
Panama,756085.0,8098.0,5934725.0,4381583.0
Papua New Guinea,41351.0,638.0,0.0,9119005.0
Paraguay,642573.0,18422.0,4105501.0,7219641.0
Peru,3518721.0,211453.0,61131363.0,33359415.0
Philippines,3663931.0,56506.0,54949064.0,111046910.0
Pitcairn,0.0,0.0,0.0,47.0
Poland,5694767.0,111864.0,37426967.0,37797000.0
Portugal,3282618.0,21111.0,19646671.0,10167923.0
Qatar,357583.0,670.0,5106175.0,2930524.0
Romania,2748777.0,63668.0,16650577.0,19127772.0
Russia,16353868.0,346197.0,143465405.0,145912022.0
Rwanda,129533.0,1457.0,920644.0,13276517.0
Saint Helena,4.0,0.0,0.0,6095.0
Saint Kitts and Nevis,5530.0,42.0,6553.0,53546.0
Saint Lucia,22729.0,360.0,26255.0,184401.0
Saint Pierre and Miquelon,1089.0,1.0,0.0,5771.0
Saint Vincent and the Grenadines,10045.0,106.0,15690.0,111269.0
Samoa,33.0,0.0,0.0,200144.0
San Marino,14435.0,112.0,20141.0,34010.0
Sao Tome and Principe,5934.0,76.0,0.0,223364.0
Saudi Arabia,746066.0,9002.0,57377209.0,35340680.0
Senegal,85712.0,1960.0,348554.0,17196308.0
Serbia,1916707.0,15318.0,3257010.0,6871547.0
Seychelles,39408.0,163.0,42863.0,98910.0
Sierra Leone,7665.0,125.0,7981.0,8141343.0
Singapore,767663.0,1040.0,13572538.0,5453600.0
Sint Maarten (Dutch part),0.0,0.0,0.0,43421.0
Slovakia,2150666.0,18567.0,0.0,5449270.0
Slovenia,897040.0,6327.0,2956720.0,2078723.0
Solomon Islands,7261.0,106.0,0.0,703995.0
Somalia,26351.0,1349.0,37292.0,16359500.0
South Africa,3659100.0,99135.0,14421187.0,60041996.0
South America,54222621.0,1247285.0,746280106.0,434260137.0
South Korea,3691487.0,8394.0,119251406.0,51305184.0
South Sudan,16989.0,137.0,7489.0,11381377.0
Spain,11139724.0,100778.0,63107480.0,46745211.0
Sri Lanka,647699.0,16267.0,32848736.0,21497306.0
Sudan,61525.0,3910.0,45572.0,44909351.0
Suriname,78353.0,1317.0,342936.0,591798.0
Sweden,2451464.0,17611.0,47616.0,10160159.0
Switzerland,2842412.0,13269.0,15568141.0,8715494.0
Syria,54744.0,3082.0,0.0,18275704.0
Taiwan,20584.0,853.0,36951294.0,23855008.0
